Sub-Saharan Africa,Online,292494523,4484,2920025.64,566105
Europe,Online,361825549,1075,51008.75,16834.5
Middle East and North Africa,Offline,141515767,6515,1003700.9,411291.95
Sub-Saharan Africa,Online,500364005,7683,5134318.41,1273303.59
Europe,Online,127481591,3491,165647.95,54669.06
Sub-Saharan Africa,Offline,482292354,9880,468806,154720.8
Asia,Online,844532620,4825,743339.5,304602.25
Asia,Online,564251220,3330,850082.4,319213.8
Sub-Saharan Africa,Online,411809480,2431,1025614.59,139053.2
Central America and the Caribbean,Online,327881228,6197,4035548.37,782371.25
Sub-Saharan Africa,Offline,773452794,724,148926.8,64139.16
Europe,Offline,479823005,9145,2334535.6,876639.7
Europe,Online,498603188,6618,4309707.78,835522.5
Asia,Online,151717174,5338,3567225.26,884666.74
Middle East and North Africa,Offline,181401288,9527,1041110.56,699662.88
Australia and Oceania,Offline,500204360,441,67287.78,24316.74
Central America and the Caribbean,Online,640987718,1365,64769.25,21375.9
Europe,Online,206925189,2617,124176.65,40982.22
Middle East and North Africa,Offline,221503102,6545,534922.85,164017.7
Europe,Offline,878520286,2530,386027.4,139504.2
Sub-Saharan Africa,Offline,192088067,1983,866967.6,344784.21
Europe,Online,746630275,3345,2178297.45,422306.25
Europe,Offline,246883237,7091,1081944.78,390997.74
Asia,Offline,967895781,725,316970,126055.75
Europe,Offline,305029237,3784,1596431.76,216444.8
Europe,Offline,223957431,2835,436760.1,178973.55
Europe,Online,510666692,6477,707806.56,475670.88
Europe,Offline,121455848,339,86539.92,32496.54
Australia and Oceania,Online,332936227,2083,531748.24,199676.38
Central America and the Caribbean,Offline,692031657,6401,303727.45,100239.66
Europe,Online,365978467,16,10419.36,2020
Europe,Online,392325484,6684,546283.32,167501.04
Central America and the Caribbean,Offline,528934037,2191,559318.48,210029.26
Europe,Online,603977954,9353,1440923.18,590454.89
Central America and the Caribbean,Online,965943562,3020,28176.6,7278.2
Middle East and North Africa,Online,233629691,5072,2217478.4,881868.64
Asia,Online,246147668,9420,769896.6,236065.2
Europe,Online,212921321,7005,332387.25,109698.3
Sub-Saharan Africa,Offline,763686978,803,7491.99,1935.23
Central America and the Caribbean,Offline,798493468,816,208308.48,78221.76
Europe,Offline,637702119,9083,1868373.1,804662.97
Asia,Offline,671986758,4670,510337.6,342964.8
Middle East and North Africa,Online,912333714,8675,948004,637092
Europe,Offline,540041816,9229,4034918.8,1604646.23
Middle East and North Africa,Offline,156722390,6493,4339077.11,1076084.89
Europe,Offline,434299266,7659,1575456.3,678510.81
Europe,Offline,765008771,1950,497796,186927
Central America and the Caribbean,Offline,611399734,5623,1435439.44,539020.78
Australia and Oceania,Online,856333482,6962,569004.26,174467.72
Middle East and North Africa,Offline,652983844,1285,11989.05,3096.85
Europe,Online,574837148,5941,2597405.2,1032961.67
Australia and Oceania,Offline,365692222,5310,580276.8,389966.4
Sub-Saharan Africa,Online,289660394,5802,1193471.4,513999.18
Sub-Saharan Africa,Online,681165492,861,132645.66,54354.93
Asia,Offline,594943845,5959,3880560.39,752323.75
Sub-Saharan Africa,Online,956044280,3603,1520069.67,206091.6
Europe,Offline,509828126,8327,77690.91,20068.07
Europe,Online,771969211,1699,138859.27,42576.94
Central America and the Caribbean,Online,178453862,7318,1505312.6,648301.62
Europe,Online,835580909,5814,475178.22,145698.84
Middle East and North Africa,Offline,869961678,9848,6413116.08,1243310
Central America and the Caribbean,Online,278519999,9112,85014.96,21959.92
Europe,Offline,478492200,5330,821139.8,336482.9
Europe,Offline,257427108,7257,3172760.4,1261774.59
Europe,Online,723186051,5678,866349.24,313084.92
Sub-Saharan Africa,Online,353942859,8412,687512.76,210804.72
Sub-Saharan Africa,Online,848183858,5307,3455971.47,670008.75
Sub-Saharan Africa,Online,374707877,3243,1368189.27,185499.6
Europe,Online,322626245,1130,92354.9,28317.8
Europe,Online,351362788,4912,3282542.24,814065.76
Europe,Offline,640653836,2562,1080882.18,146546.4
Europe,Online,540548217,9084,992699.52,667128.96
Sub-Saharan Africa,Offline,821407258,1516,387004.48,145323.76
Sub-Saharan Africa,Offline,523904788,3924,186193.8,61449.84
Europe,Online,109027135,2407,263036.96,176770.08
Central America and the Caribbean,Online,108073127,95,41534,16517.65
Sub-Saharan Africa,Offline,672654092,2148,20040.84,5176.68
Middle East and North Africa,Online,224693858,761,117239.66,48041.93
Europe,Online,406428754,155,12668.15,3884.3
Central America and the Caribbean,Online,230407607,1586,404874.08,152033.96
Asia,Online,129491746,8340,681628.2,209000.4
Middle East and North Africa,Online,606854999,735,113234.1,46400.55
North America,Offline,885983693,1118,285403.04,107171.48
Sub-Saharan Africa,Offline,260676658,8871,5776883.91,1119963.75
Sub-Saharan Africa,Offline,345045220,5403,2362191.6,939419.61
Europe,Online,123513209,9158,2337854.24,877885.88
Europe,Online,900816953,609,93822.54,38446.17
Sub-Saharan Africa,Online,452005279,7261,4852308.47,1203365.53
Europe,Online,672439515,8650,1332619,546074.5
Sub-Saharan Africa,Offline,827793490,1344,898154.88,222741.12
Central America and the Caribbean,Online,704053533,3941,430672.48,289427.04
Sub-Saharan Africa,Offline,157518470,2070,528429.6,198430.2
Middle East and North Africa,Offline,464799630,3394,1483856.8,590114.78
Australia and Oceania,Online,272820842,2605,1696402.05,328881.25
Middle East and North Africa,Online,548818433,6425,525115.25,161010.5
Europe,Online,530341231,8611,3632894.79,492549.2
Sub-Saharan Africa,Offline,875250566,4947,234735.15,77470.02
Europe,Offline,511720263,8252,674435.96,206795.12
Sub-Saharan Africa,Offline,688236653,3375,160143.75,52852.5
Sub-Saharan Africa,Online,923598563,2194,179315.62,54981.64
Central America and the Caribbean,Online,356917321,8622,1315544.76,475417.08
Europe,Offline,897616755,3600,554616,227268
Central America and the Caribbean,Online,475433194,102,26038.56,9777.72
Central America and the Caribbean,Offline,690415465,8134,1253124.04,513499.42
Australia and Oceania,Online,962924897,9730,4253956,1691755.1
Central America and the Caribbean,Online,783635318,3960,604216.8,218354.4
Middle East and North Africa,Online,163533055,1920,394944,170092.8
Asia,Online,983916938,1742,82657.9,27279.72
Middle East and North Africa,Online,246398293,3585,737434.5,317595.15
Asia,Offline,422900950,4644,3024219.24,586305
Asia,Offline,905661237,4141,2696660.61,522801.25
Sub-Saharan Africa,Online,257227981,8330,910302.4,611755.2
Sub-Saharan Africa,Offline,260462510,5500,839190,303270
Europe,Offline,968538653,965,9003.45,2325.65
Europe,Online,254942739,2077,427238.9,184001.43
